algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb,heap_current_bytes,heap_peak_bytes,heap_allocations,is_correct,max_abs_error,max_rel_error
hybrid_divide_conquer,256,6,0.014329177,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.8694875385476992e-15
strassen,256,6,0.343425718,7096,7096,0,0,3669960,20176800,1,1.0828671292983927e-11,1.7828736556039215e-13
hybrid_strassen,256,6,0.011529561,7096,7096,0,0,3440640,168,1,2.8421709430404007e-13,4.5673626582989812e-15
iterative,256,7,0.017284312,7096,7096,0,0,0,0,1,0,0
recursive,256,7,0.542542075,7096,7096,0,0,2446640,33554430,1,1.2789769243681803e-13,1.9610839303276565e-15
hybrid_divide_conquer,256,7,0.013668166,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.9610839303276565e-15
strassen,256,7,0.332074120,7096,7096,0,0,3669960,20176800,1,1.602984411874786e-11,2.5854658044900395e-13
hybrid_strassen,256,7,0.012145072,7096,7096,0,0,3440640,168,1,3.1263880373444408e-13,4.7533271365581596e-15
iterative,256,8,0.016675711,7096,7096,0,0,0,0,1,0,0
recursive,256,8,0.525488144,7096,7096,0,0,2446640,33554430,1,1.4210854715202004e-13,1.9612979761204642e-15
hybrid_divide_conquer,256,8,0.013124181,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.9192555271861375e-15
strassen,256,8,0.334495709,7096,7096,0,0,3669960,20176800,1,1.0437872788315872e-11,1.6419872400739431e-13
hybrid_strassen,256,8,0.016250828,7096,7096,0,0,3440640,168,1,3.1263880373444408e-13,4.8320089463947869e-15
iterative,256,9,0.016821817,7096,7096,0,0,0,0,1,0,0
recursive,256,9,0.510027353,7096,7096,0,0,2446640,33554430,1,1.4210854715202004e-13,2.0333956710537713e-15
hybrid_divide_conquer,256,9,0.013228273,7096,7096,0,0,2293760,126,1,1.4210854715202004e-13,2.0862697185011713e-15
strassen,256,9,0.336620655,7096,7096,0,0,3669960,20176800,1,1.1084466677857563e-11,1.7056385399074951e-13
hybrid_strassen,256,9,0.013371502,7096,7096,0,0,3440640,168,1,2.9842794901924208e-13,4.7333463015269122e-15
iterative,256,10,0.017023904,7096,7096,0,0,0,0,1,0,0
recursive,256,10,0.510372151,7096,7096,0,0,2446640,33554430,1,1.1368683772161603e-13,1.7275435788673888e-15
hybrid_divide_conquer,256,10,0.014930839,7096,7096,0,0,2293760,126,1,1.2789769243681803e-13,1.936681062824705e-15
strassen,256,10,0.336502645,7096,7148,52,0,3669960,20176800,1,1.5546675058430992e-11,2.5565350856593666e-13
hybrid_strassen,256,10,0.012315977,7148,7148,0,0,3440640,168,1,3.4106051316484809e-13,5.5486431327521689e-15
iterative,512,1,0.309000172,8108,10156,2048,0,0,0,1,0,0
recursive,512,1,4.063272009,10156,19256,9100,0,9786672,268435454,1,3.4106051316484809e-13,2.6320238691333951e-15
hybrid_divide_conquer,512,1,0.102526786,19256,19256,0,0,9633792,1022,1,3.4106051316484809e-13,2.6548555404730554e-15
strassen,512,1,2.307207824,19256,23992,4736,0,14680008,141237621,1,6.3863581090117805e-11,5.3004329518567415e-13
hybrid_strassen,512,1,0.077852889,23992,23992,0,0,14450688,1197,1,1.4068746168049984e-12,1.2033925726518569e-14
iterative,512,2,0.265701338,23992,23992,0,0,0,0,1,0,0
recursive,512,2,3.963567671,23992,23992,0,0,9786672,268435454,1,3.4106051316484809e-13,2.5958043236158837e-15
hybrid_divide_conquer,512,2,0.098400671,23992,23992,0,0,9633792,1022,1,3.694822225952521e-13,2.812121350583874e-15
strassen,512,2,2.244621625,23992,23992,0,0,14680008,141237621,1,5.1542770052037667e-11,4.1972417476407418e-13
hybrid_strassen,512,2,0.074765973,23992,23992,0,0,14450688,1197,1,1.5347723092418164e-12,1.1477689674894998e-14
iterative,512,3,0.264611410,23992,23992,0,0,0,0,1,0,0
recursive,512,3,3.788297367,23992,23992,0,0,9786672,268435454,1,3.694822225952521e-13,2.6762662367458473e-15
hybrid_divide_conquer,512,3,0.095208854,23992,23992,0,0,9633792,1022,1,3.694822225952521e-13,2.6762662367458473e-15
strassen,512,3,2.176057670,23992,23992,0,0,14680008,141237621,1,4.8217430048680399e-11,3.8402385287610135e-13
hybrid_strassen,512,3,0.085533143,23992,23992,0,0,14450688,1197,1,1.3216094885137863e-12,1.0620013460477681e-14
iterative,512,4,0.265613594,23992,23992,0,0,0,0,1,0,0
recursive,512,4,3.735769363,23992,23992,0,0,9786672,268435454,1,3.979039320256561e-13,2.9395246111322103e-15
hybrid_divide_conquer,512,4,0.102560373,23992,23992,0,0,9633792,1022,1,3.979039320256561e-13,2.9395246111322103e-15
strassen,512,4,2.125328032,23992,23992,0,0,14680008,141237621,1,6.0111915445304476e-11,4.673079936168726e-13
hybrid_strassen,512,4,0.083305435,23992,23992,0,0,14450688,1197,1,1.3926637620897964e-12,1.0775112607014436e-14
iterative,512,5,0.269501220,23992,23992,0,0,0,0,1,0,0
recursive,512,5,3.915970841,23992,23992,0,0,9786672,268435454,1,3.5527136788005009e-13,2.8014271402729273e-15
hybrid_divide_conquer,512,5,0.099422895,23992,23992,0,0,9633792,1022,1,3.5527136788005009e-13,2.8014271402729273e-15
strassen,512,5,2.184759843,23992,23992,0,0,14680008,141237621,1,6.0254023992456496e-11,4.7918035527661975e-13
hybrid_strassen,512,5,0.079543499,23992,23992,0,0,14450688,1197,1,1.7053025658242404e-12,1.2991455684378811e-14
iterative,512,6,0.253990336,23992,23992,0,0,0,0,1,0,0
recursive,512,6,3.669834772,23992,23992,0,0,9786672,268435454,1,3.694822225952521e-13,2.6844006744935208e-15
hybrid_divide_conquer,512,6,0.096554670,23992,23992,0,0,9633792,1022,1,4.2632564145606011e-13,3.0973853936463704e-15
strassen,512,6,2.248019237,23992,23992,0,0,14680008,141237621,1,5.7497118177707307e-11,4.447164794179944e-13
hybrid_strassen,512,6,0.076180736,23992,23992,0,0,14450688,1197,1,1.2505552149377763e-12,9.90056004618178e-15
iterative,512,7,0.247965389,23992,23992,0,0,0,0,1,0,0
recursive,512,7,3.670430294,23992,23992,0,0,9786672,268435454,1,3.979039320256561e-13,3.0166576728437221e-15
hybrid_divide_conquer,512,7,0.101248149,23992,23992,0,0,9633792,1022,1,3.979039320256561e-13,3.0166576728437221e-15
strassen,512,7,2.073946542,23992,23992,0,0,14680008,141237621,1,5.8207660913467407e-11,4.4536262425137613e-13
hybrid_strassen,512,7,0.073734706,23992,23992,0,0,14450688,1197,1,1.3358203432289883e-12,1.0380658652138039e-14
iterative,512,8,0.272831195,23992,23992,0,0,0,0,1,0,0
recursive,512,8,3.613309565,23992,23992,0,0,9786672,268435454,1,3.4106051316484809e-13,2.5877724995275119e-15
hybrid_divide_conquer,512,8,0.095197356,23992,23992,0,0,9633792,1022,1,3.694822225952521e-13,2.7268858821699571e-15
strassen,512,8,2.096555756,23992,23992,0,0,14680008,141237621,1,5.8804516811505891e-11,4.5160987601387691e-13
hybrid_strassen,512,8,0.073490060,23992,23992,0,0,14450688,1197,1,1.2079226507921703e-12,9.4646623779700761e-15
iterative,512,9,0.267396230,23992,23992,0,0,0,0,1,0,0
recursive,512,9,3.632793078,23992,23992,0,0,9786672,268435454,1,3.4106051316484809e-13,2.5680066422186081e-15
hybrid_divide_conquer,512,9,0.097959425,23992,23992,0,0,9633792,1022,1,3.4106051316484809e-13,2.524991600010729e-15
strassen,512,9,2.100373052,23992,23992,0,0,14680008,141237621,1,5.6814997151377611e-11,4.4213746806559324e-13
hybrid_strassen,512,9,0.079757287,23992,23992,0,0,14450688,1197,1,1.3073986337985843e-12,1.0360317904599421e-14
iterative,512,10,0.283514320,23992,23992,0,0,0,0,1,0,0
recursive,512,10,3.932945113,23992,23992,0,0,9786672,268435454,1,3.694822225952521e-13,2.8041741432712673e-15
